Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
704169524,37,male,3,Unknown,Single,20503 zł brutto,Platinum,44460.0,0.74,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
736148594,47,female,2,Doctorate,Single,26553 zł brutto,Platinum,44460.0,0.66,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
690452006,47,male,3,Professor,Single,2504 zł brutto,White,3750.0,0.25,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
630263357,26,female,2,Unknown,Married,31804 zł brutto,Platinum,44460.0,0.58,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
913955092,38,female,3,Post-Graduate,Single,24859 zł brutto,Platinum,44460.0,0.65,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
790786117,49,male,5,Uneducated,Married,21260 zł brutto,Platinum,44460.0,0.73,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
985312731,31,male,1,Graduate,Single,12044 zł brutto,Gold,24600.0,0.12,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
387998652,20,male,4,Professor,Unknown,18737 zł brutto,Platinum,44460.0,0.96,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
674694262,41,female,2,Student,Single,25892 zł brutto,Platinum,44460.0,0.84,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
163699978,20,female,5,Graduate,Single,4907 zł brutto,White,3750.0,0.78,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
634852353,35,male,3,high school,Unknown,2856 zł brutto,White,3750.0,0.74,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
676083630,50,male,1,Unknown,Single,6159 zł brutto,Black,7900.0,0.19,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
510079752,53,female,3,Post-Graduate,Unknown,16387 zł brutto,Gold,24600.0,0.19,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
627447742,22,female,1,high school,Married,12890 zł brutto,Gold,24600.0,0.27,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
809838909,19,male,1,Graduate,Married,19945 zł brutto,Platinum,44460.0,0.12,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
587670147,28,male,2,Graduate,Married,19587 zł brutto,Platinum,44460.0,0.63,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
318212788,57,female,4,high school,Unknown,7713 zł brutto,Silver,13650.0,0.33,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
884817092,20,male,3,Doctorate,Unknown,19646 zł brutto,Platinum,44460.0,0.03,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
111778960,47,male,5,Doctorate,Single,17085 zł brutto,Gold,24600.0,0.89,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
732717657,39,male,2,Unknown,Unknown,29672 zł brutto,Platinum,44460.0,1.0,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
830989186,18,female,1,Graduate,Married,16771 zł brutto,Gold,24600.0,0.36,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
366667219,24,female,2,Doctorate,Single,29210 zł brutto,Platinum,44460.0,0.84,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
873387049,37,male,2,high school,Single,7313 zł brutto,Black,7900.0,0.68,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
408260575,21,female,1,Uneducated,Unknown,10072 zł brutto,Silver,13650.0,0.73,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
740240208,53,female,2,Student,Married,22734 zł brutto,Platinum,44460.0,0.76,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
675767714,50,male,4,Student,Unknown,21365 zł brutto,Platinum,44460.0,0.88,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
878566689,28,male,3,Professor,Unknown,22877 zł brutto,Platinum,44460.0,0.4,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
494932342,32,male,2,Professor,Married,21240 zł brutto,Platinum,44460.0,0.26,Existing Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
584034208,45,female,1,Uneducated,Married,23612 zł brutto,Platinum,44460.0,0.41,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
460930802,45,female,1,Uneducated,Single,4222 zł brutto,White,3750.0,0.15,Attrited Customer
Customer number,Customer age,Gender,Number of counts,Education level,Marital status,Earnings,Card Category,Credit limit,Avg utilities ratio,Attrition flag
146017726,23,female,1,Post-Graduate,Married,15283 zł brutto,Gold,24600.0,0.77,Existing Customer
